,Episode Number,Title,Plot,Release Date,Average Rating
925,926,Zettai Zetsumei - Kyoi no Orochi Oniwabanshu,"Robin gets caught by the Orochi Oniwabanshu in Orochi's castle. The ninjas attack Robin in order to find the truth of her intentions. Meanwhile, Chopper, Kiku, Tama, and Momonosuke find Big Mom at the shore after the encounter with King.","Sun, Mar 29, 2020",7.7
926,927,Shura-jo! Osoreru Daija Shogun Orochi,"At Kuri Beach, Chopper gives the amnesiac Big Mom a fake name. Back inside the shogun's castle, Orochi warns his guests about the return of the Scabbards. Toko laughs, enraging Orochi. As Orochi lashes out at Toko, Komurasaki steps in.","Sun, Apr 5, 2020",7.5
927,928,The Flower Falls! The Final Moment of the Most Beautiful Woman in the Land of Wano!,"Orochi takes his rage out on Komurasaki as Robin protects Toko. Brook, Nami, and Shinobu arrive at the banquet hall to aid Robin. Right after Orochi releases his grip on Komurasaki during the commotion, Kyoshiro cuts her down.","Sun, Apr 12, 2020",7.5
928,929,The Bond Between Prisoners! Luffy and Old Man Hyo!,"In the Ringo region, Kanjuro meets up with Shinobu's group. In Ebisu Town, Law's group learns from a newspaper that a funeral for Komurasaki will be held and that Kid escaped from Udon prison.","Sun, Apr 19, 2020",7.4
929,930,A Lead Performer! Queen the Plague Emerges!,Luffy kicks Daifugo to defend Hyogoro and then fights the guards until Babanuki fires a cannonball at him. Raizo manages to steal some keys from the Prisoner Mines executive tower. Later Queen arrives at the Udon prison.,"Sun, Jun 28, 2020",7.6
930,931,Goes up. Luffy's Desperate Escape!,"At the Prisoner Mines, the Sumo Inferno begins, but Luffy easily defeated his opponents. Meanwhile at the Flower Capital bathhouse, Drake and Hawkins arrive to search for those associated with the Kozuki Family.","Sun, Jul 5, 2020",7.5
931,932,Dead or Alive! Queen's Sumo Inferno!,"At the Prisoner Mines, the Sumo Inferno begins, but Luffy easily defeated his opponents. Meanwhile at the Flower Capital bathhouse, Drake and Hawkins arrive to search for those associated with the Kozuki Family.","Sun, Jul 12, 2020",7.8
932,933, Gyukimaru! Zoro Fights a Duel on Bandit's Bridge,"Sumo Inferno continues and Queen sends in the Gifters. At the bridge, Zoro clashes with Gyukimaru to get Shusui back. Their fight is interrupted when a woman and Toko arrive seeking help as they were chased by an assassin known as Kamazo.","Sun, Jul 19, 2020",8.9
933,934,A Big Turnover! The Three-Sword Style Overcomes Danger!,"During an argument with Shinobu, Law plans to rescue his crew. Meanwhile at Oihagi Bridge, Zoro continues his clash with Kamazo.","Sun, Jul 26, 2020",9.3
934,935,"Zoro, Stunned! The Shocking Identity of the Mysterious Woman!",Luffy continues trying to use an advanced Busoshoku Haki technique as he and Hyogoro are confronted by Alpacaman and Madilloman.,"Sun, Aug 2, 2020",8.0
935,936,Get the Hang of It! The Land of Wano's Haki - Ryuo!,"After Hiyori reveals her identity to Zoro, she explains about some things about her past such as how Kawamatsu watched over her after her parents' death.","Sun, Aug 9, 2020",7.8
936,937,Tonoyasu! Ebisu's most beloved!,Luffy tries to learn Ryuo through fighting in the Sumo Inferno. It continues until the night and will resume the next day. Luffy and Hyogoro meet Caribou and Raizo and talks about the rebellion.,"Sun, Aug 16, 2020",7.7
937,938,Shaking the nation. The identity of Ushimitsu Kozo,"After his capture, Tonoyasu is sentenced to execution. Meanwhile, Holdem and his men battle the Mt. Atama Thieves. While clashing with Ashura Doji, Holdem sets the mountain on fire.","Sun, Aug 23, 2020",7.6
938,939,The Straw Hats are running! Save the captive Tonoyasu,"Toko and Zoro's group make their way to the Flower Capital. As Shimotsuki Yasuie is placed on a wooden pole and is being broadcast throughout Wano, his old acquaintances recognize him.","Sun, Aug 30, 2020",8.9
939,940,Zoro's Fury! The Truth About the Smile!,"After claiming responsibility for Kin'emon's secret message, saying it was a prank, and casting doubt in the Rasetsu prison guards, Yasuie meets a brutal end as Orochi and his men shoot him to death.","Sun, Sep 6, 2020",9.3
940,941,Toko's Tears! Orochi's Pitiless Bullets!,"As the citizens of Ebisu Town grieve over Yasuie's death, Shinobu reveals more information about the SMILE fruits. Meanwhile Zoro and Sanji step in fight to save Toko from Orochi.","Sun, Sep 13, 2020",9.1
941,942,The Straw Hats Step In! An Uproarious Deadly Battle at the Execution Ground!,"Zoro and Sanji start fighting against Orochi's clan. Nami and the rest of the Straw Hats join them. Meanwhile, at the Excavation Labor Camp a new criminal has arrived. And a shocking truth is revealed.","Sun, Sep 20, 2020",9.0
942,943,Luffy's Determination! Win Through the Sumo Inferno!,Zoro clashes with Kyoshiro and Sanji clashes with X Drake while Usopp takes Toko to safety. Right after that the Orochi Oniwabanshu arrives to confront the Straw Hat Pirates.,"Sun, Sep 27, 2020",8.6
943,944,The Coming of the Storm! Big Mom's Great Rampage!,"After the skirmish inside the Flower Capital, Kin'emon confesses to Ashura Doji that he provoked Holdem into attacking Mt. Atama. When Ashura becomes angry, Kin'emon admits his mistake and once again begs him for his help.","Sun, Oct 4, 2020",7.7
944,945,A Grudge Over Oshiruko - Luffy Gets into a Desperate Situation,"Big Mom subdues Queen when the latter tries to fight her. During that scuffle, Kid and Killer are saved from drowning. Big Mom does not find any oshiruko, and when Luffy blurts out that he ate it, she attacks him out of rage.","Sun, Oct 11, 2020",8.6
945,946,Stop the Emperor of the Sea! Queen's Secret Plan!,"Luffy attempts to defend against Big Mom's attack, but she sends him and Hyogoro crashing into a wall. They both survived, but Big Mom continues attacking Luffy, chasing him around the Prisoner Mines.","Sun, Oct 18, 2020",7.6
946,947,The Ultimate Weapon! Excite Bullets Aimed at Luffy,"Right after Big Mom regains her memories, she suddenly faints. Queen quickly orders to restrain Big Mom and escorts her to Onigashima. With both Queen and Big Mom away, Luffy continues practicing with advanced Busoshoku Haki.","Sun, Oct 25, 2020",7.6
947,948,Start Fighting Back! Luffy and the Red Scabbard Samurai!,"Raizo freed Kawamastsu and with Luffy, Chopper, Kiku and Hyogoro they start fighting the Hundred Beast Pirates of the Udon prison meanwhile Zoro and Hyori got attacked by Fukurokoji's underlings.","Sun, Nov 1, 2020",7.7
948,949,We're Here to Win! Luffy's Desperate Scream!,"Luffy and his group continue to rebel against the prison guards, however, the prisoners attempt to stop them after the plague spreads rapidly. Luffy takes drastic action in an attempt to win the prisoner's faith and stir them to rebel too.","Sun, Nov 8, 2020",9.1
949,950,Warriors' Dream! Luffy's Conquer of Udon!,"After Udon is conquered, Chopper tends to Luffy and works to develop a cure for his condition. Luffy asks Kid to join the fight against Kaido, but Kid rejects his offer and leaves Udon with Killer.","Sun, Nov 15, 2020",9.0
950,951,Orochi's Pursuers! Ninja Army Corps vs. Zoro,Zoro is continuously pursued by Orochi's ninjas. Law strikes a deal with Basil Hawkins in regards to the freedom of The Heart Pirates.,"Sun, Nov 22, 2020",8.2
951,952,Tension Rises in Onigashima! Two Emperors of the Sea Meet?!,"Kanjuro, Nami, and Franky travel across Wano. Brook, Ussop, and Robin also travel Wano using a dock. Ashura reveals ships that he has that will be used for the assault on Onigashima. Zoro battles for his sword. Big Mom and Kaidio meet.","Sun, Nov 29, 2020",8.7
952,953,Hiyori's Confession! Reunion on Oihagi Bridge,"Big Mom and Kadio come to blows leaving Kadio's subordinate nervous. Reunions take place as Hyogoro and the yakuza bosses from the past get reacquainted while across Wano, Hiyori and Kawamatsu also reunite.","Sun, Dec 6, 2020",8.6
953,954,Its Name is Enma! Oden's Meito!,"Kawamatsu tells Hiyori how he and a fox named Onimaru defended and collected weapons belonging to the dead. Hiyori offers Zoro Enma, the legendary sword said to have cut Kadio.","Sun, Dec 13, 2020",8.4
954,955,"""A New Alliance?! Kaido's Army Gathers""","Zoro agrees to return Shusui in exchange for Enma, Law subdues Hawkins and escapes. At Onigashima, Kaidou and Big Mom decide to put aside their feud and form an alliance to conquer the world.","Sun, Dec 20, 2020",8.1
955,956,Ticking Down to the Great Battle! The Straw Hats Go into Combat Mode!,Zoro receives Enma and sees its destructive power. Luffy continues training his Busoshoku Haki.,"Sun, Dec 27, 2020",9.1
956,957,Big News! The Warlords Attack Incident,News concerning Sabo spread throughout the world. Drake and Koby conduct a private conversation.,"Sun, Jan 10, 2021",9.5
957,958,"""The Legendary Battle! Garp and Roger""","The navy begins a meeting where Sengoku informs them about the alliance between Big Mom and Kaido. Sengoku talks about the legendary Rocks pirates and he reveals the bounties of all of the Yonko's, as well as Roger's bounty.","Sun, Jan 17, 2021",9.5
958,959,"""The Promised Port - Opening of Third Act of Wano Country!""",The Fire Festival is soon to begin as the samurai of Wano wait for their allies who are nowhere to be seen leaving Kin'emon and the rest of the samurai feeling helpless.,"Sun, Jan 24, 2021",9.0
959,960,"""The Greatest Samurai of Wano Country! Kozuki Oden Appears!""","It is revealed that Orochi had the Beasts Pirates bombed the Thousand Sunny and destroyed some bridges to cut off routes to Tokage Port. At the port, the Nine Red Scabbards prepare to continue with the raid on their own.","Sun, Jan 31, 2021",8.9
960,961,"""The Crying Apprentice! Oden and Kin'emon!""","The Mountain God continues its rampage in the Flower Capital until Oden confronts and defeats it. After this incident, Oden was expelled from the capital. Due to their admiration for Oden, Kinemon and Denjiro decide to follow him.","Sun, Feb 7, 2021",8.9
961,962,Changing Destiny - The Whitebeard Pirates Cast Ashore!,Oden transforms the wild land of Kuri into a habitable region and is made Daimyo over it.,"Sun, Feb 14, 2021",9.2
962,963,Oden's Determination! Whitebeard's Trials!,"Once their ship is repaired, the Whitebeard Pirates leave at night to avoid Oden's advances but he catches up anyway, attaching a chain to the ship and riding with Izo through the ocean. Marco saves Izo and brings him onto the Moby Dick where he is tied up.","Sun, Feb 21, 2021",9.3
963,964, Whitebeard's Little Brother! Oden's Great Adventure!,"Toki tends to Oden after he rescued her from the kidnappers. On the next day, they are confronted by the kidnappers and their leader, Karma. Whitebeard intervenes and knocks out Karma. Whitebeard accepts Oden into his crew because of his selflessness.","Sun, Feb 28, 2021",9.2
964,965,Blades Crossed! Roger and Whitebeard!,"Orochi plots to take the shogunate with Higurashi's assistance. As Oden continues his journey with the Whitebeard Pirates, he finally encounters the Roger Pirates. A clash between Whitebeard and Gol D. Roger ensues.","Sun, Mar 7, 2021",9.5
965,966,Roger's Wish! A New Journey!,"After an intense and lasting battle between the most fomented pirate gangs in the world, Roger discovers Oden's skill, spent for years in the Kouzuki clan, and decides to make an unpredictable invitation.","Sun, Mar 21, 2021",9.4
966,967,Devoting His Life! Roger's Adventure,Roger pirates sail around the Grandline and meet some old friends.,"Sun, Mar 28, 2021",9.4
967,968,The Pirate King is Born: Arriving at the Last Island!,"Oden, forced by an ill Toki, leaves her and their children at Wano sailing again on the Oro Jackson. At Zou, Roger finds the last Road Poneglyph. Despite his worsening health, Roger and his crew reach the Grand Line's final island.","Sun, Apr 4, 2021",9.5
968,969,To Wano Country! The Roger Pirates Disband,"After reaching the last island and becoming the ""King of all Pirates"" Gol D. Roger disbands the Roger pirates. Oden returns to his home.","Sun, Apr 11, 2021",9.4
969,970,Sad News: The Opening of the Great Pirate Era,"After seeing the state of Wano, a vengeful Oden sets out to the Flower Capital with his swords pointed at Orochi.","Sun, Apr 18, 2021",9.1
970,971,Raid! Oden and the Nine Red Scabbards,Orochi travels to Kuri revealing his evil plan as Oden finally decides to take down Kaido,"Sun, Apr 25, 2021",9.1
971,972,The Moment of Conclusion! Oden vs. Kaido!,Oden and the nine Ninjas march toward Kaido's area for revenge. Suddenly something shows up in their way.,"Sun, May 2, 2021",9.5
972,973,Sentenced to Boil! Oden's Deadly Hour!,"Having been defeated by Kaidou, Oden is captured and sentenced, along with his retainers, to be executed in the middle of the Flower Capital.","Sun, May 9, 2021",9.3
973,974,Oden Wouldn't Be Oden If It Wasn't Boiled!,"Oden manages to survive the boiling execution, but Orochi then summons a shooting squad to kill Oden and his retainers anyway. Oden throws his retainers to safety and exchanges final words with Kaido before dying with a smile.","Sat, May 15, 2021",9.5
974,975,The Castle on Fire! The Fate of the Kozuki Clan!,Kaido breaks into the burning Kozuki castle as Toki attempts to save her family.,"Sat, May 22, 2021",9.3
975,976,Back to the Present Day! 20 Years Later!,Hiyori and Kappa separate and she gets brought to Kysohiro who secretly pledges to protect her.,"Sun, May 30, 2021",9.2
976,977,The Sea Is For Pirates! Raid! To Onigashima,"With no allies coming to their aid, the Nine Red Scabbards row to Onigashima on their own.","Sun, Jun 6, 2021",9.4
977,978,The Worst Generation Charges in! The Battle of the Stormy Sea,"Luffy, Law, and Kid join the Akazaya samurai and begin to fight Kaido's army.","Sun, Jun 13, 2021",9.4
978,979,Good Luck!? Leader Kin'emon's Plot,"Kyoshiro reveals himself as Denjiro (one of the akazaya Samurai) and explains the real meaning of the flyer. Meanwhile, Kanjuro kidnaps Momonuske and heads towards onigashima.","Sun, Jun 20, 2021",8.9
979,980,A Tearful Promise! The Kidnapped Momonosuke!,The Beast Pirates start attacking the samurai's ships from a distance. An old ally comes to Straw Hats' aid.,"Sun, Jun 27, 2021",9.1
980,981,A New Member! Knight of the Sea Jinbe!,Zoro and Sanji team up to fight the guard as Luffy and Jimbei attack Kaido's men.,"Sun, Jul 4, 2021",9.1
